Index;States/UTs;Persons killed in road accidents;Persons killed/Lakh Population;Killed per 10000 vehicles;Urban;Rural;non-wearing of helmet;non-wearing of seat belt;over speeding;drunk driving
1;Andhra Pradesh;8293;15.7;5.4;2092;6201;3042;895;6760;31
2;Arunachal Pradesh;148;9.6;6.0;103;45;32;15;65;22
3;Assam;2994;8.5;6.0;1591;1403;347;450;1933;139
4;Bihar;8898;7.1;6.8;2859;6039;960;180;4928;40
5;Chhattisgarh;5834;19.6;6.6;1168;4666;3714;636;4808;40
6;Goa;271;17.3;1.9;77;194;111;10;240;2
7;Gujarat;7618;10.8;1.5;2260;5358;2470;891;7236;7
8;Haryana;4915;16.5;2.3;2166;2749;571;358;3489;89
9;Himachal Pradesh;1032;13.9;5.2;160;872;150;289;304;24
10;Jharkhand;3898;10.0;5.2;855;3043;1602;743;3131;125
11;Karnataka;11702;17.4;6.0;3022;8680;2923;1114;10723;82
12;Kerala;4317;12.1;3.7;1090;3227;534;74;2282;31
13;Madhya Pradesh;13427;15.7;2.1;3896;9531;4869;1809;10356;342
14;Maharashtra;15224;12.1;6.2;4164;11060;5279;1521;11493;133
15;Manipur;127;4.0;3.1;44;83;22;16;96;7
16;Meghalaya;162;4.9;3.5;37;125;14;10;96;7
17;Mizoram;113;9.2;3.9;59;54;8;6;57;13
18;Nagaland;73;3.3;1.6;49;24;13;19;25;8
19;Odisha;5467;11.9;1.0;1710;3757;1695;503;3675;301
20;Punjab;4756;15.6;5.2;2144;2612;811;372;3090;118
21;Rajasthan;11104;13.9;3.4;2704;8400;3052;1648;8998;98
22;Sikkim;92;13.5;4.8;14;78;0;0;20;3
23;Tamil Nadu;17884;19.9;8.7;5137;12747;7612;621;15653;71
24;Telangana;7559;5.9;4.5;2988;4571;2963;635;6592;190
25;Tripura;241;9.0;5.3;75;166;23;15;205;0
26;Uttarakhand;1042;9.7;3.5;355;687;224;43;782;7
27;Uttar Pradesh;22595;6.1;2.3;10038;12557;6349;3611;9297;2186
28;West Bengal;6002;4.7;5.5;1525;4477;357;69;1937;12
29;A & N Islands;19;6.8;4.7;5;14;0;0;2;3
30;Chandigarh;83;7.7;0.9;83;0;12;10;59;8
31;D & N Haveli;90;7.0;0.5;27;63;54;NA;74;6
32;Delhi;805;6.0;2.4;NA;NA;NA;10;NA;NA
33;Jammu & Kashmir;62;20.7;1.0;1430;31;37;113;648;51
34;Ladakh;2;2.9;3.7;203;602;81;27;797;0
35;Lakshadweep;181;11.3;0.0;18;44;3;0;35;4
36;Puducherry;168491;;1.3;0;2;NA;0;2;0
