State/UT,2018,2019,2020,2021,2022
Andhra Pradesh,7556,7984,7039,8186,8293
Arunachal Pradesh,175,127,73,157,148
Assam,2966,3208,2629,3036,2994
Bihar,6729,7205,6695,7660,8898
Chhattisgarh,4592,5003,4606,5371,5834
Goa,262,297,223,226,271
Gujarat,7996,7390,6170,7452,7618
Haryana,5118,5057,4507,4706,4915
Himachal Pradesh,1208,1146,893,1052,1032
Jharkhand,3542,3801,3044,3513,3898
Karnataka,10990,10958,9760,10038,11702
Kerala,4303,4440,2979,3429,4317
Madhya Pradesh,10706,11249,11141,12057,13427
Maharashtra,13261,12788,11569,13528,15224
Manipur,134,156,127,110,127
Meghalaya,182,179,144,187,162
Mizoram,45,48,42,56,113
Nagaland,39,26,53,55,73
Odisha,5315,5333,4378,5081,5467
Punjab,4740,4525,3898,4589,4756
Rajasthan,10320,10563,9250,10043,11104
Sikkim,85,73,47,56,92
Tamil Nadu,18392,18129,14527,15384,17884
Telangana,6603,6964,6882,7557,7559
Tripura,213,239,192,194,241
Uttarakhand,1047,867,674,820,1042
Uttar Pradesh,22256,22655,19149,21227,22595
West Bengal,5771,5767,5128,5800,6002
Andaman & Nicobar Islands,19,17,10,20,19
Chandigarh,98,104,53,96,83
Dadra & Nagar Haveli,54,49,64,76,90
Daman & Diu,35,35,0,0,0
Delhi,1690,1463,1196,1239,1461
Jammu & Kashmir,984,996,728,774,805
Lakshadweep,1,0,0,1,2
