States/UTs,Factor 1,Factor 2,Factor 3,Cluster
Andhra Pradesh,0.6308503723950577,-0.5815422490732465,-0.4708179612536809,1
Arunachal Pradesh,-0.7918537519357237,0.2720348059378837,-0.24560568346983647,0
Assam,-0.29409083958744164,0.3573798353045115,0.4864935060455977,0
Bihar,0.729705048435327,-0.6826960089342434,3.5120237728777752,0
Chhattisgarh,0.20222813885719057,-0.4911995212735486,-1.740193262959008,1
Goa,-0.7705361823791783,0.21685191979366214,-0.2890755719694645,0
Gujarat,0.5112241925113323,-0.7316927938811926,-0.3449240528331562,1
Haryana,0.0385546864444472,-0.055874560259602066,0.9317685003234889,0
Himachal Pradesh,-0.637755104778518,0.18363234283632707,0.08362923594963625,0
Jharkhand,-0.13588647775595386,-0.10003837907292844,-0.718196675821211,0
Karnataka,1.22362437281961,-1.2091005189131299,0.11281534112454271,1
Kerala,-0.06685862088216869,-0.22902987976636188,1.0661776237110212,0
Madhya Pradesh,1.5320259878910913,-0.45876392936047755,-0.7291507861030591,1
Maharashtra,1.8378909798072358,-1.4684791171801905,0.32635752583513145,1
Manipur,-0.7956381919792201,0.24372204230316433,-0.25446174121986,0
Meghalaya,-0.7895621282121792,0.23893442124480782,-0.22798274505304134,0
Mizoram,-0.7980737249764518,0.25486296039775197,-0.2316672357291379,0
Nagaland,-0.8050845080141626,0.25401242097213056,-0.2523808525972465,0
Odisha,0.13960832687566593,0.16158387516908224,-0.09145054214183827,0
Punjab,0.012800408759281918,0.1760061602595564,0.9044401373756109,0
Rajasthan,1.1203217593814163,-0.9734353232200667,0.27012403728892814,1
Sikkim,-0.8018196887966017,0.2433503053101372,-0.22807239069978064,0
Tamil Nadu,2.3027048299872424,-1.9739406277229212,-1.7265938633021878,1
Telangana,0.5015392058906154,-0.4574669160163011,-0.6756636054636173,1
Tripura,-0.7758440414361998,0.2220885705987381,-0.1897960141041056,0
Uttarakhand,-0.636378604418372,0.13301874811249673,-0.07907551228724168,0
Uttar Pradesh,3.1711573368832737,4.883213376416709,-0.1237253443239179,2
West Bengal,0.22405695676380216,-0.43091491543595045,2.194376879788796,0
A & N Islands,-0.8144946183153303,0.2523520646357084,-0.2632980163595859,0
Chandigarh,-0.8033550693315739,0.25647172718987665,-0.24575114660219577,0
D & N Haveli,-0.8020410848375619,0.24623973737907173,-0.2930791982182739,0
Delhi,-0.5636863936117942,0.36695690541002707,0.49715497088125454,0
Jammu & Kashmir,-0.6774829424267398,0.14301722747563797,-0.17415118074961858,0
Ladakh,-0.8069701832467834,0.2503632460341229,-0.26034981805223634,0
Lakshadweep,-0.8174705282250618,0.25075273994403585,-0.26842862451749,0
Puducherry,-0.7934099185555775,0.23732930738472244,-0.26146970537101155,0
